route	status	changed_fields	old_route_row	new_route_row	lifecycle_status	lifecycle_changed_fields	old_lifecycle_row	new_lifecycle_row
anthropic.messages	CHANGED	surface;prepared_behavior	`anthropic.messages` | `swallowtail-adapter-anthropic`; `swallowtail.anthropic.direct` | catalogue; one-attempt structured inference with optional bounded PNG input or provider-owned web search; resource-free consumer-tool continuation session; HTTP/SSE | approved `api.anthropic.com` endpoint; provider-supported public API key and pay-as-you-go billing | no ordered axis; exact `anthropic-2023-06-01` facade | `prepare_anthropic_direct` → catalogue, inference-attempt, or session profile → `list_models`, `start_run`, or `open_session`; prepared sessions expose context-losing restoration; image and search remain structured-run options | `AnthropicDirectDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	`anthropic.messages` | `swallowtail-adapter-anthropic`; `swallowtail.anthropic.direct` | catalogue; one-attempt structured inference with optional bounded PNG input or provider-owned web search; resource-free consumer-tool continuation session; exact `claude-opus-4-7` effort `low\|medium\|high\|xhigh\|max` on both prepared profiles; adapter-local `AnthropicThinkingMode::adaptive()` omitted-display thinking on the same model, with bounded private block replay on continuation; HTTP/SSE | approved `api.anthropic.com` endpoint; provider-supported public API key and pay-as-you-go billing | no ordered axis; exact `anthropic-2023-06-01` facade | `prepare_anthropic_direct` → catalogue, inference-attempt, or session profile → `list_models`, `start_run`, or `open_session`; effort and thinking are fixed during preparation and restoration, unsupported models/values reject before network work, and no summarized-display, hidden-reasoning, or effective-thinking claim is made; image and search remain structured-run options | `AnthropicDirectDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	UNCHANGED	NONE	`anthropic.messages` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact `anthropic-2023-06-01` facade; one-attempt inference has no provider session | request and stream cleanup only	`anthropic.messages` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact `anthropic-2023-06-01` facade; one-attempt inference has no provider session | request and stream cleanup only
antigravity.catalogue	CHANGED	version_identity	`antigravity.catalogue` | `swallowtail-adapter-antigravity`; `swallowtail.antigravity.catalogue` | authenticated model catalogue; Antigravity models stdio | approved executable and environment; provider-supported personal Google subscription login owned by Antigravity | `antigravity-cli.release`; maintained `1.1.9..=1.1.15` plus permitted visible unverified-newer stable points | `prepare_antigravity(Catalogue)` → `prepare_catalogue` → `list_models` | `AntigravityCatalogueDriver`; `ModelCatalogDriver`	`antigravity.catalogue` | `swallowtail-adapter-antigravity`; `swallowtail.antigravity.catalogue` | authenticated model catalogue; Antigravity models stdio | approved executable and environment; provider-supported personal Google subscription login owned by Antigravity | `antigravity-cli.release`; maintained `1.1.9..=1.1.17` plus permitted visible unverified-newer stable points | `prepare_antigravity(Catalogue)` → `prepare_catalogue` → `list_models` | `AntigravityCatalogueDriver`; `ModelCatalogDriver`	CHANGED	version	`antigravity.catalogue` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | maintained `1.1.9..=1.1.15`; later stable points remain visible `UnverifiedNewer`; catalogue has no provider session | process and task cleanup only	`antigravity.catalogue` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | maintained `1.1.9..=1.1.17`; later stable points remain visible `UnverifiedNewer`; catalogue has no provider session | process and task cleanup only
antigravity.headless	CHANGED	version_identity	`antigravity.headless` | `swallowtail-adapter-antigravity`; `swallowtail.antigravity.headless` | explicit-model structured runs and exact-id restarted turn-scoped continuation; Antigravity stream JSON over one joined stdio child per run or turn | approved executable and environment; provider-supported personal Google subscription login; explicit ambient read or read-write authority for runs, optional provider sandbox, and ambient read-intent plan mode for continuation | `antigravity-cli.release`; maintained `1.1.9..=1.1.15` plus permitted visible unverified-newer stable points | `prepare_antigravity(Headless)` → `prepare_run` → `start_run`, or `prepare_antigravity(Continuation)` → `prepare_session` → `open_session`; later turns privately use only the exact observed conversation id | `AntigravityHeadlessDriver`; `StructuredRunDriver` and `InteractiveSessionDriver`	`antigravity.headless` | `swallowtail-adapter-antigravity`; `swallowtail.antigravity.headless` | explicit-model structured runs and exact-id restarted turn-scoped continuation; Antigravity stream JSON over one joined stdio child per run or turn | approved executable and environment; provider-supported personal Google subscription login; explicit ambient read or read-write authority for runs, optional provider sandbox, and ambient read-intent plan mode for continuation | `antigravity-cli.release`; maintained `1.1.9..=1.1.17` plus permitted visible unverified-newer stable points | `prepare_antigravity(Headless)` → `prepare_run` → `start_run`, or `prepare_antigravity(Continuation)` → `prepare_session` → `open_session`; later turns privately use only the exact observed conversation id | `AntigravityHeadlessDriver`; `StructuredRunDriver` and `InteractiveSessionDriver`	CHANGED	version	`antigravity.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | maintained `1.1.9..=1.1.15`; structured runs and exact-id continuation preserve provider state without exposing public session identity | each run or turn joins its process and task; provider state is preserved	`antigravity.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | maintained `1.1.9..=1.1.17`; structured runs and exact-id continuation preserve provider state without exposing public session identity | each run or turn joins its process and task; provider state is preserved
claude-agent.acp	CHANGED	version_identity	`claude-agent.acp` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-agent.acp` | ambient read-write one-prompt structured run and read-only interactive session, both with optional consumer-mediated one-shot permissions; reasoning and plan-mode selection plus inactive provider-session delete; ACP v1 stdio | approved executable and environment; maintainer-supported local Claude subscription auth by default, or explicit Anthropic public API-key pay-as-you-go access | `claude-agent.acp-adapter`; maintained `0.53.0..=0.70.0` excluding `0.58.0`, plus permitted unverified-newer stable points | `prepare_claude_agent` → run, session, or delete profile → `start_run`, `open_session`, or `execute` | `ClaudeAgentAcpDriver`; `StructuredRunDriver`, `InteractiveSessionDriver`, and `ProviderSessionManagementDriver`	`claude-agent.acp` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-agent.acp` | ambient read-write one-prompt structured run and read-only interactive session, both with optional consumer-mediated one-shot permissions; reasoning and plan-mode selection plus inactive provider-session delete; ACP v1 stdio | approved executable and environment; maintainer-supported local Claude subscription auth by default, or explicit Anthropic public API-key pay-as-you-go access | `claude-agent.acp-adapter`; maintained `0.53.0..=0.73.0` excluding `0.58.0`, plus permitted unverified-newer stable points | `prepare_claude_agent` → run, session, or delete profile → `start_run`, `open_session`, or `execute` | `ClaudeAgentAcpDriver`; `StructuredRunDriver`, `InteractiveSessionDriver`, and `ProviderSessionManagementDriver`	CHANGED	version	`claude-agent.acp` | `supported` | `yes` | `unsupported` | `unsupported` | `supported` | `ProviderDataDeleted` | `0.53.0..=0.70.0`, excluding unpublished `0.58.0`; later stable releases are visible `UnverifiedNewer` | durable structured runs preserve history; the opt-in temporary profile closes then deletes its operation-private session	`claude-agent.acp` | `supported` | `yes` | `unsupported` | `unsupported` | `supported` | `ProviderDataDeleted` | `0.53.0..=0.73.0`, excluding unpublished `0.58.0`; later stable releases are visible `UnverifiedNewer` | durable structured runs preserve history; the opt-in temporary profile closes then deletes its operation-private session
claude-agent.sdk	ADDED	package_identity;surface;authority;version_identity;prepared_behavior;driver	ABSENT	`claude-agent.sdk` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-agent.sdk` | Unix-only fresh read-only interactive session with confirmed effective model, caller-deadline-bounded open, turn, interrupt, and close, streamed output and identity-and-lifecycle activity, consumer-mediated tool admission with intact tool input, capability-gated interrupt, and a root-only degraded close that reports Clean only on attested owned-tree emptiness; strict LF JSONL sidecar wire over stdio to the source-tagged Node sidecar driving the official Claude Agent SDK | approved host launch recipe (interpreted Node plus the sidecar entry point) and environment; maintainer-supported `claude/delegated-subscription-auth` profile with the credential held only by the official store | `claude-agent.sdk.package`; qualified exact `0.3.259` one-point claim plus exact native `2.1.259`, Node `22.23.2`, `swallowtail-claude-agent-sdk-jsonl-v1` wire, and sidecar source-tag axes; no unverified-newer posture | `prepare_claude_agent_sdk_session` → `open_session` → `start_turn`; open verifies wire, behavior, SDK, native binary, Node, leased cwd, read-only tool set, and first-party subscription readiness before any provider work | `ClaudeAgentSdkDriver`; `InteractiveSessionDriver`	ADDED	posture;binding;archive;restore;delete;strength;version;cleanup	ABSENT	`claude-agent.sdk` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | qualified exact `0.3.259` on `claude-agent.sdk.package` plus exact native `2.1.259`, Node, wire, and sidecar source-tag points; session persistence is disabled, so no provider session is retained, loaded, or resumed | one caller cleanup deadline bounds turn resolution, interruption, close, escalation, root join, and both lease releases; the sidecar joins its retained native handle to a declared 2000 ms bound and the host makes the declared descendant termination attempt; `OwnedTreeEmpty` alone reports `Clean`, confirmed root-only completion is the accepted `Degraded` posture, and an observed survivor or unconfirmed root exit is cleanup failure
claude-code.headless	CHANGED	surface;version_identity	`claude-code.headless` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-code.headless` | read-only plan-mode one-prompt structured run with usage and reasoning selection; Claude Code stream JSON over stdio | approved `claude` executable and environment; provider-supported local Claude subscription access; explicit ambient harness configuration with no session persistence | `claude-code.headless-stream-json`; `2.1.220..=2.1.235` plus permitted unverified-newer stable points | `prepare_claude_code_headless` → `prepare_run` → `start_run` | `ClaudeCodeHeadlessDriver`; `StructuredRunDriver`	`claude-code.headless` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-code.headless` | read-only plan-mode one-prompt structured run with usage, reasoning selection, and an optional adapter-local maximum agentic-turn bound; Claude Code stream JSON over stdio | approved `claude` executable and environment; provider-supported local Claude subscription access; explicit ambient harness configuration with no session persistence | `claude-code.headless-stream-json`; `2.1.220..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; plus permitted unverified-newer stable points | `prepare_claude_code_headless` → `prepare_run` → `start_run` | `ClaudeCodeHeadlessDriver`; `StructuredRunDriver`	CHANGED	version	`claude-code.headless` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | qualified `2.1.220..=2.1.235`; later stable releases may be visible `UnverifiedNewer`; every run disables session persistence | process and task cleanup only; no provider session is retained	`claude-code.headless` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | qualified `2.1.220..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; later stable releases may be visible `UnverifiedNewer`; every run disables session persistence | process and task cleanup only; no provider session is retained
claude-code.response-only	CHANGED	version_identity	`claude-code.response-only` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-code.response-only` | one tool-free bounded assistant text response with usage and reasoning selection; strict Claude Code stream JSON over stdio | approved `claude` executable and explicit OAuth/keychain environment; provider-supported local Claude subscription access; provider-suppressed tools and MCP, ambient-host isolation, no working resource, no session persistence | `claude-code.response-only-stream-json`; qualified `2.1.227..=2.1.235`; later stable releases provisionally `UnverifiedNewer`; explicit known-bad deny-list | `prepare_claude_code_response_only` → `prepare_run` → `start_run` | `ClaudeCodeResponseOnlyDriver`; `StructuredRunDriver`	`claude-code.response-only` | `swallowtail-adapter-claude-agent`; `swallowtail.claude-code.response-only` | one tool-free bounded assistant text response with usage and reasoning selection; strict Claude Code stream JSON over stdio | approved `claude` executable and explicit OAuth/keychain environment; provider-supported local Claude subscription access; provider-suppressed tools and MCP, ambient-host isolation, no working resource, no session persistence | `claude-code.response-only-stream-json`; qualified `2.1.227..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; later stable releases provisionally `UnverifiedNewer`; explicit known-bad deny-list | `prepare_claude_code_response_only` → `prepare_run` → `start_run` | `ClaudeCodeResponseOnlyDriver`; `StructuredRunDriver`	CHANGED	version	`claude-code.response-only` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | qualified `2.1.227..=2.1.235`; later stable releases run provisionally unless explicitly denied; every run disables session persistence and exposes no reusable provider identity | process and task cleanup only; no provider session is retained	`claude-code.response-only` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | qualified `2.1.227..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; later stable releases run provisionally unless explicitly denied; every run disables session persistence and exposes no reusable provider identity | process and task cleanup only; no provider session is retained
cline.acp	CHANGED	surface	`cline.acp` | `swallowtail-adapter-cline`; `swallowtail.cline.acp` | one bounded interactive session; ACP v1 stdio | approved executable and environment; provider-supported local Cline account state without a credential lease; explicit working resource | `cline.package`; exact `3.0.55`; no unverified-newer execution | `prepare_cline_acp` → `prepare_session` → `open_session` | `ClineAcpDriver`; `InteractiveSessionDriver`	`cline.acp` | `swallowtail-adapter-cline`; `swallowtail.cline.acp` | one bounded interactive session; ACP v1 stdio; optional portable `HarnessMode::Plan` via confirmed `session/set_config_option` `mode=plan` before the first prompt; no portable reasoning selection because exact `3.0.55` parses then discards `--thinking` and hard-codes thinking off | approved executable and environment; provider-supported local Cline account state without a credential lease; explicit working resource | `cline.package`; exact `3.0.55`; no unverified-newer execution | `prepare_cline_acp` → `prepare_session` → `open_session` | `ClineAcpDriver`; `InteractiveSessionDriver`	UNCHANGED	NONE	`cline.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact `3.0.55`; selected ACP route advertises no close, load, or delete | connection, process, and task cleanup only; provider-owned session state is preserved	`cline.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact `3.0.55`; selected ACP route advertises no close, load, or delete | connection, process, and task cleanup only; provider-owned session state is preserved
cline.headless	CHANGED	surface	`cline.headless` | `swallowtail-adapter-cline`; `swallowtail.cline.headless` | one-prompt structured run; envelope NDJSON over stdio | approved executable and environment; provider-supported local Cline account state without a credential lease; explicit working resource and host process deadline | `cline.package`; exact `3.0.55`; no unverified-newer execution | `prepare_cline_headless` → `prepare_run` → `start_run` | `ClineHeadlessDriver`; `StructuredRunDriver`	`cline.headless` | `swallowtail-adapter-cline`; `swallowtail.cline.headless` | one-prompt structured run with optional portable `HarnessMode::Plan` as canonical `--plan`; envelope NDJSON over stdio; no portable reasoning selection because exact `3.0.55` model-entitles and may normalize the value while this route selects no provider/model and gets no applied-tier acknowledgement | approved executable and environment; provider-supported local Cline account state without a credential lease; explicit working resource and host process deadline | `cline.package`; exact `3.0.55`; no unverified-newer execution | `prepare_cline_headless` → `prepare_run` → `start_run` | `ClineHeadlessDriver`; `StructuredRunDriver`	UNCHANGED	NONE	`cline.headless` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact `3.0.55`; one print run and no reusable provider-session identity | process and task cleanup only; local Cline account/config state is preserved	`cline.headless` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact `3.0.55`; one print run and no reusable provider-session identity | process and task cleanup only; local Cline account/config state is preserved
codex.exec	CHANGED	surface;prepared_behavior	`codex.exec` | `swallowtail-adapter-codex`; `swallowtail.codex.exec` | structured run; structured CLI | approved executable and environment; caller-selected Codex profile plus matching evidence | `codex.cli`; ordered maintained/deprecated range with permitted unverified-newer stable points | `prepare_codex(StructuredExec)` → `prepare_structured_exec` → `start_run` | `CodexExecDriver`; `StructuredRunDriver`	`codex.exec` | `swallowtail-adapter-codex`; `swallowtail.codex.exec` | structured run with optional adapter-local `model_verbosity` on exact `0.147.0..=0.149.1` slugs; structured CLI | approved executable and environment; caller-selected Codex profile plus matching evidence | `codex.cli`; ordered maintained/deprecated range with permitted unverified-newer stable points | `prepare_codex(StructuredExec)` → `prepare_structured_exec` → `start_run`; verbosity is dispatch-only against frozen tag metadata | `CodexExecDriver`; `StructuredRunDriver`	UNCHANGED	NONE	`codex.exec` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | accepted `codex.cli` exec segments; no persistent-session claim | run and process cleanup only	`codex.exec` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | accepted `codex.cli` exec segments; no persistent-session claim | run and process cleanup only
