route	package_driver	surface_behavior	authority	version_identity	prepared_behavior	driver	lifecycle_behavior	release_inventory_v0.3.3	feature_matrix_delta	route_matrix_delta	lifecycle_matrix_delta	cross_cutting_behavior_delta	compatibility_class	consumer_effect	evidence	changelog_release_note_coverage	upgrade_rollback
`alibaba.conversations`	`swallowtail-adapter-alibaba-model-studio`; `swallowtail.alibaba-model-studio.conversations-responses`	resource-free structured run and interactive provider conversation; retained profile adds load plus newest-first provider history pages over the ascending items walk; HTTPS/SSE	approved Singapore workspace endpoint; general API key and pay-as-you-go billing	no ordered axis; exact `openai-conversations-responses` facade	`prepare_alibaba_model_studio` → run, delete-on-close conversation, retained conversation, retained history, or retained-management profile → start, open/load/restore, history page, or delete; delete-on-close maps to fresh replacement while retained maps to recovery	`AlibabaModelStudioDriver`; `StructuredRunDriver`, `InteractiveSessionDriver`, `ProviderSessionHistoryDriver`, and `ProviderSessionManagementDriver`	persistent_session=`supported`; management_binding=`yes`; archive=`unsupported`; restore=`unsupported`; delete=`supported`; deletion_strength=`ProviderDataDeleted`; version_identity=exact `openai-conversations-responses` facade; only the separate retained profile issues a management binding and load authority; cleanup_guarantee=operation-owned close deletes its conversation; retained close preserves it, while separately authorized management deletes items before conversation	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`anthropic.managed-agent`	`swallowtail-adapter-anthropic`; `swallowtail.anthropic.managed-agent`	provider-hosted harness structured run with opt-in exact-run reconciliation and separate inactive recovered-resource cleanup; managed-agent HTTPS/SSE	approved first-party endpoint; public API key, pay-as-you-go billing, and operator-owned agent version	`anthropic.managed-agents-facade`; exact opaque revision	`prepare_anthropic_managed_agent` → ordinary or recoverable `prepare_managed_run` → `start_run`; later `prepare_run_reconciliation` → `reconcile`, or `prepare_recovered_cleanup` → `cleanup`	`AnthropicManagedAgentDriver`; `StructuredRunDriver`, `ProviderRunReconciliationDriver`, and `ProviderRecoveredResourceCleanupDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque `anthropic.managed-agents-facade` revision; session and environment are operation-owned; cleanup_guarantee=ordinary close deletes its created session, then environment; the opt-in recoverable profile emits separate exact-run observation and inactive-resource cleanup authority, never user-directed session management	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`anthropic.messages`	`swallowtail-adapter-anthropic`; `swallowtail.anthropic.direct`	catalogue; one-attempt structured inference with optional bounded PNG input or provider-owned web search; resource-free consumer-tool continuation session; exact `claude-opus-4-7` effort `low\|medium\|high\|xhigh\|max` on both prepared profiles; adapter-local `AnthropicThinkingMode::adaptive()` omitted-display thinking on the same model, with bounded private block replay on continuation; HTTP/SSE	approved `api.anthropic.com` endpoint; provider-supported public API key and pay-as-you-go billing	no ordered axis; exact `anthropic-2023-06-01` facade	`prepare_anthropic_direct` → catalogue, inference-attempt, or session profile → `list_models`, `start_run`, or `open_session`; effort and thinking are fixed during preparation and restoration, unsupported models/values reject before network work, and no summarized-display, hidden-reasoning, or effective-thinking claim is made; image and search remain structured-run options	`AnthropicDirectDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact `anthropic-2023-06-01` facade; one-attempt inference has no provider session; cleanup_guarantee=request and stream cleanup only	yes	reasoning_selection;notes	CHANGED:surface;prepared_behavior	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`antigravity.catalogue`	`swallowtail-adapter-antigravity`; `swallowtail.antigravity.catalogue`	authenticated model catalogue; Antigravity models stdio	approved executable and environment; provider-supported personal Google subscription login owned by Antigravity	`antigravity-cli.release`; maintained `1.1.9..=1.1.17` plus permitted visible unverified-newer stable points	`prepare_antigravity(Catalogue)` → `prepare_catalogue` → `list_models`	`AntigravityCatalogueDriver`; `ModelCatalogDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=maintained `1.1.9..=1.1.17`; later stable points remain visible `UnverifiedNewer`; catalogue has no provider session; cleanup_guarantee=process and task cleanup only	yes	guaranteed_version_posture	CHANGED:version_identity	CHANGED:version	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`antigravity.headless`	`swallowtail-adapter-antigravity`; `swallowtail.antigravity.headless`	explicit-model structured runs and exact-id restarted turn-scoped continuation; Antigravity stream JSON over one joined stdio child per run or turn	approved executable and environment; provider-supported personal Google subscription login; explicit ambient read or read-write authority for runs, optional provider sandbox, and ambient read-intent plan mode for continuation	`antigravity-cli.release`; maintained `1.1.9..=1.1.17` plus permitted visible unverified-newer stable points	`prepare_antigravity(Headless)` → `prepare_run` → `start_run`, or `prepare_antigravity(Continuation)` → `prepare_session` → `open_session`; later turns privately use only the exact observed conversation id	`AntigravityHeadlessDriver`; `StructuredRunDriver` and `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=maintained `1.1.9..=1.1.17`; structured runs and exact-id continuation preserve provider state without exposing public session identity; cleanup_guarantee=each run or turn joins its process and task; provider state is preserved	yes	guaranteed_version_posture	CHANGED:version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`bedrock.catalogue`	`swallowtail-adapter-bedrock`; `swallowtail.amazon-bedrock.catalogue`	model catalogue; Rust SDK control plane	approved regional control-plane target and explicit `BedrockCloudClientConfig`; delegated cloud-provider identity	`amazon-bedrock.control-plane-rust-sdk` plus `amazon-bedrock.control-plane-service-api`; exact opaque revisions	`prepare_bedrock` → `catalogue` → `prepare_catalogue` → `list_models`	`BedrockCatalogueDriver`; `ModelCatalogDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact SDK and control-plane service revisions; catalogue has no provider session; cleanup_guarantee=request cleanup only	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`bedrock.runtime`	`swallowtail-adapter-bedrock`; `swallowtail.amazon-bedrock.direct`	structured run; Rust SDK EventStream	approved regional Runtime target and explicit `BedrockCloudClientConfig`; delegated cloud-provider identity	`amazon-bedrock.runtime-rust-sdk` plus `amazon-bedrock.runtime-service-api`; exact opaque revisions	`prepare_bedrock` → `runtime` → `prepare_inference_attempt` → `start_run`	`BedrockDirectDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact SDK and Runtime service revisions; inference attempt has no provider session; cleanup_guarantee=request and EventStream cleanup only	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`claude-agent.acp`	`swallowtail-adapter-claude-agent`; `swallowtail.claude-agent.acp`	ambient read-write one-prompt structured run and read-only interactive session, both with optional consumer-mediated one-shot permissions; reasoning and plan-mode selection plus inactive provider-session delete; ACP v1 stdio	approved executable and environment; maintainer-supported local Claude subscription auth by default, or explicit Anthropic public API-key pay-as-you-go access	`claude-agent.acp-adapter`; maintained `0.53.0..=0.73.0` excluding `0.58.0`, plus permitted unverified-newer stable points	`prepare_claude_agent` → run, session, or delete profile → `start_run`, `open_session`, or `execute`	`ClaudeAgentAcpDriver`; `StructuredRunDriver`, `InteractiveSessionDriver`, and `ProviderSessionManagementDriver`	persistent_session=`supported`; management_binding=`yes`; archive=`unsupported`; restore=`unsupported`; delete=`supported`; deletion_strength=`ProviderDataDeleted`; version_identity=`0.53.0..=0.73.0`, excluding unpublished `0.58.0`; later stable releases are visible `UnverifiedNewer`; cleanup_guarantee=durable structured runs preserve history; the opt-in temporary profile closes then deletes its operation-private session	yes	guaranteed_version_posture;notes	CHANGED:version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`claude-agent.sdk`	`swallowtail-adapter-claude-agent`; `swallowtail.claude-agent.sdk`	Unix-only fresh read-only interactive session with confirmed effective model, caller-deadline-bounded open, turn, interrupt, and close, streamed output and identity-and-lifecycle activity, consumer-mediated tool admission with intact tool input, capability-gated interrupt, and a root-only degraded close that reports Clean only on attested owned-tree emptiness; strict LF JSONL sidecar wire over stdio to the source-tagged Node sidecar driving the official Claude Agent SDK	approved host launch recipe (interpreted Node plus the sidecar entry point) and environment; maintainer-supported `claude/delegated-subscription-auth` profile with the credential held only by the official store	`claude-agent.sdk.package`; qualified exact `0.3.259` one-point claim plus exact native `2.1.259`, Node `22.23.2`, `swallowtail-claude-agent-sdk-jsonl-v1` wire, and sidecar source-tag axes; no unverified-newer posture	`prepare_claude_agent_sdk_session` → `open_session` → `start_turn`; open verifies wire, behavior, SDK, native binary, Node, leased cwd, read-only tool set, and first-party subscription readiness before any provider work	`ClaudeAgentSdkDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=qualified exact `0.3.259` on `claude-agent.sdk.package` plus exact native `2.1.259`, Node, wire, and sidecar source-tag points; session persistence is disabled, so no provider session is retained, loaded, or resumed; cleanup_guarantee=one caller cleanup deadline bounds turn resolution, interruption, close, escalation, root join, and both lease releases; the sidecar joins its retained native handle to a declared 2000 ms bound and the host makes the declared descendant termination attempt; `OwnedTreeEmpty` alone reports `Clean`, confirmed root-only completion is the accepted `Degraded` posture, and an observed survivor or unconfirmed root exit is cleanup failure	no	provider;solution;route_id;adapter_crate;driver_id;execution_layer;runtime_posture;runtime_ownership;transport;access_posture;version_axis;guaranteed_version_posture;unverified_newer_allowed;model_catalog;structured_run;interactive_session;realtime_media_session;streaming_events;usage_evidence;billed_cost_evidence;output_token_limit;reasoning_selection;structured_output;attachments;consumer_tool_exchange;permission_exchange;question_exchange;cancellation_or_interruption;load_session;resume_session;provider_session_catalogue;provider_session_import;working_resource;bounded_workspace_text_write;external_search;retained_background_execution;stream_reattachment;provider_managed_recovery;provider_session_archive;provider_session_restore;provider_session_delete;native_session_close;owned_remote_resource_cleanup;owned_runtime_lifecycle;planned_connection_rollover;persistent_session_posture;prepared_facade;notes	ADDED:package_identity;surface;authority;version_identity;prepared_behavior;driver	ADDED:posture;binding;archive;restore;delete;strength;version;cleanup	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	included additive current integration row; candidate inclusion is frozen by Card051's explicit 49-route boundary; absent from immutable v0.3.3 release inventory	new route identity; no existing v0.3.3 route is renamed or removed; candidate must include this route and cannot make a later inclusion choice	current route/lifecycle/feature/activity matrices; route snapshot at audited head; g05.022/Card055 and Card061 for Claude; prior Pi sidecar guide/evidence for Pi	Claude: CHANGELOG [Unreleased] Added SDK entry and Card055/061 coverage; Card051 must preserve this entry in the candidate release notes. Pi route coverage is specified separately in the Pi row; no inclusion choice remains	v0.4.0 consumers must opt into the exact route and provision the documented sidecar/runtime; existing v0.3.3 consumers have no action unless opting in; rollback to v0.3.3 omits the route and sidecar calls; no cross-route aliasing or mixed workspace versions
`claude-code.headless`	`swallowtail-adapter-claude-agent`; `swallowtail.claude-code.headless`	read-only plan-mode one-prompt structured run with usage, reasoning selection, and an optional adapter-local maximum agentic-turn bound; Claude Code stream JSON over stdio	approved `claude` executable and environment; provider-supported local Claude subscription access; explicit ambient harness configuration with no session persistence	`claude-code.headless-stream-json`; `2.1.220..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; plus permitted unverified-newer stable points	`prepare_claude_code_headless` → `prepare_run` → `start_run`	`ClaudeCodeHeadlessDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=qualified `2.1.220..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; later stable releases may be visible `UnverifiedNewer`; every run disables session persistence; cleanup_guarantee=process and task cleanup only; no provider session is retained	yes	guaranteed_version_posture;notes	CHANGED:surface;version_identity	CHANGED:version	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
