item_id	scope	category	v0.3.3_state	audited_head_state	compatibility_class	consumer_effect	evidence	changelog_release_note_coverage	upgrade_rollback
API-CLOSE	swallowtail-runtime; all 25 current InteractiveSessionDriver routes	removal/signature/lifecycle/cleanup	zero-argument InteractiveSessionHandle::close(Box<Self>) returned a cleanup future	close now requires exact HostServices and SessionCleanupRequest with one caller-selected absolute deadline; expiry/cancellation transfers the whole cleanup guardian; only OwnedTreeEmpty supports Clean	breaking coordinated pre-1.0 minor	update every interactive close caller; the deadline covers interruption, escalation, pump/task joins, credential release, and resource release; no unbounded or falsely-clean path	Contract 036; Contract 038; card 058 closeout; current runtime API generation; route ledger cross-cutting field	CHANGELOG [Unreleased] Breaking entry names the exact break; Card051 must promote it into v0.4.0 release notes	v0.4.0: pass exact host/request/deadline; rollback to v0.3.3 restores the old close call but cannot mix workspace versions
API-RESERVED-REAP	swallowtail-runtime; swallowtail-host-local; swallowtail-testkit; Claude SDK lifecycle	lifecycle/cleanup/access	no reserved pre-effect host-reap authority or scoped reapable task API in v0.3.3	TaskReapReservation, reserve_reap, spawn_reapable, and non-fallible exact-host/scope handoff exist; AcceptedForReap is ownership transfer only, never join or cleanup evidence	additive compatible	new lifecycle-aware consumers may opt in; ordinary unreserved spawn, explicit join, and join-on-drop remain unchanged	current API delta; card 060; card 061; logs 2026-09-03 g05-025; Contract 009/010/019	CHANGELOG [Unreleased] Added reservation and relinquishment entries; Card051 must carry exact naming	existing consumers unchanged; new API requires v0.4.0 source; rollback omits reservation/reap calls
BEHAVIOR-CLOSE	all 25 current interactive routes	lifecycle/cleanup	shared route prose did not expose caller-bounded exact-host close contract	every InteractiveSessionHandle close is host/deadline-bounded; cleanup failure is reported on expiry; no route may infer Clean from root exit alone	breaking coordinated pre-1.0 minor	consumer teardown code must supply the selected host and absolute deadline and handle unconfirmed cleanup	current/tag route and lifecycle snapshots; Contract 019; card 058; route ledger cross-cutting field	CHANGELOG [Unreleased] Breaking close entry and Added tree-evidence entry; Card051 promotion required	same as API-CLOSE; no route-specific timeout is a substitute
OPENAI-MINIMAL	openai.background	guaranteed value/range/identity	exact GPT-5.6 preparation previously admitted the unqualified minimal reasoning value	minimal rejects before endpoint, credential, request, or provider work; corrected opaque facade is openai-responses-background-2026-08-23; admitted values are none|low|medium|high|xhigh|max	breaking guaranteed-behavior shrink	replace minimal; callers receive fail-before-effects rejection instead of nearest-value substitution	Contract 036; g04.044; current/tag route snapshots; openai background guide	CHANGELOG [Unreleased] Changed entry and Breaking entry; Card051 must promote corrected facade and failure timing	v0.4.0 uses an admitted value or fails closed; rollback restores historical v0.3.3 behavior only
OPENAI-CHECKPOINT	openai.background	lifecycle/cleanup/reconciliation	selected-tier checkpoint reconciliation had no current selected-tier prohibition in the tagged behavior	selected-tier checkpoints reject restart reconciliation; explicit default tier is dispatch-only for ordinary attached and one-reattachment profiles	breaking behavioral restriction for affected checkpoint consumers	do not restart selected-tier checkpoints; reconcile only permitted default/untiered checkpoints	current/tag route and lifecycle snapshots; Research 196; openai background guide; lifecycle delta	CHANGELOG [Unreleased] Added/Changed service-tier and checkpoint entries; Card051 must map this consumer effect	upgrade rejects selected-tier restart before network work; rollback returns to v0.3.3 only
KIMI-ACP-RANGE	kimi-code.acp	range/access/isolation/evidence	qualified maintained range ended at 0.37.2 and newer stable points were permitted unverified	QualifiedOnly cap is 0.38.0; 0.39.0/0.39.1 and every point above cap fail closed because agent-core-v2 spawns an uncontained local process	breaking provider-range/posture shrink above the maintained cap	operators must stay at 0.38.0 or stop; no uncontained terminal authority is imported	Research 270; card 043; Contract 029; current/tag route and lifecycle snapshots	CHANGELOG [Unreleased] Changed entry names cap, exclusions, and process-authority reason	do not use 0.39.x ACP; rollback does not justify mixing old AllowUnverified posture with current source
KIMI-HEADLESS-IDENTITY	kimi-code.headless	range/identity/evidence	0.29.0..=0.37.2 was claimed as one v1 stream-json identity	v1 is 0.29.0..=0.32.0; v2 is 0.33.0..=0.39.1; prior v1 claim for 0.33.0..=0.37.2 was corrected	compatibility correction with provider identity boundary	select the matching decoder/revision; the old v1 mapping must not be used for agent-core-v2 versions	Research 270; cards 041-042; currentness checkpoint; route/lifecycle delta	CHANGELOG [Unreleased] Changed entry explains the split and corrected bounds	upgrade selects v1/v2 by provider version; rollback cannot combine old wrong claim with current decoder
CLAUDE-SDK-ROUTE	claude-agent.sdk; current 49-row integration census	route identity/access/target/isolation/evidence	route absent from immutable v0.3.3 release inventory	new Unix-only exact 0.3.259 SDK route with independent native/Node/wire/source-tag identities, delegated credential reference, read-only tool admission, and no session persistence	additive current integration surface	new consumers must provision exact sidecar/runtime and use the separate route; no ACP/Claude Code identity transfer; Windows is Unsupported	current route/feature/activity/lifecycle matrices; Research 278/280; cards 053/055/061; SDK guide	CHANGELOG [Unreleased] Added SDK route entry; candidate release-note promotion is Card051 work	opt in only at exact axes; rollback to v0.3.3 removes this route; never alias it to ACP or Claude Code
CLAUDE-SDK-LIFECYCLE	claude-agent.sdk	lifecycle/cleanup/access/isolation	no route row or lifecycle claim existed at v0.3.3	reserved reaping precedes credential/resource/process/provider effects; one guardian owns pump/process/leases; root-only macOS completion is Degraded; only OwnedTreeEmpty is Clean; survivors/unconfirmed root are Failed	additive but strict cleanup guarantee	callers must provide deadlines and accept Degraded/Failed truth; no credential/resource release around live work	cards 055/059/061; Contract 019; logs 2026-09-03 SDK restoration and macOS posture; current lifecycle row	CHANGELOG [Unreleased] Added SDK and tree/reap lifecycle entries; Card051 must preserve exact posture	use exact documented cleanup outcomes; rollback removes route rather than weakening existing routes
PI-SDK-ROUTE	pi.sdk-sidecar; current 49-row integration census	route identity/lifecycle/evidence	route absent from immutable v0.3.3 release inventory	new exact 0.84.2 Pi SDK sidecar route with Node/wire/source-tag axes, durable app-owned session state, bounded replay load and resume, no archive/restore/delete	additive current integration surface	new consumers provision the sidecar and exact session directory; route remains separate from pi.rpc	current route/feature/activity/lifecycle matrices; Pi sidecar guide; Research 228; g04.081 evidence	no dedicated [Unreleased] route-add entry is present; Card051 must decide and promote coverage if candidate inventory includes the route	v0.4.0 consumers opt in at exact axes; v0.3.3 rollback omits the route; no route alias
TREE-EVIDENCE	swallowtail-runtime; swallowtail-host-local; Claude SDK	evidence/isolation/cleanup	ProcessExit::new was the only generic root-exit evidence; no owned-tree-empty constructor	ProcessTreeCompletion distinguishes RootOnly and OwnedTreeEmpty; host-local remains root-only under ordinary macOS authority; only attested empty tree can support Clean	additive evidence with stricter truth	consumers cannot infer descendant cleanup from root exit; root-only ordinary macOS is Degraded for the SDK route	cards 057/059; Contract 019; current API/route/lifecycle evidence	CHANGELOG [Unreleased] Added tree completion entry; Card051 must repeat the no-false-Clean rule	no source action for existing root-only consumers; use OwnedTreeEmpty only when concrete host evidence exists
FEATURE-ADDITIONS	anthropic.messages; claude-code.*; cline.*; codex.exec; copilot-cli.acp; cursor-agent.*; deepseek.continuation; gemini.*; llama-cpp.owned; mistral-vibe.headless; ollama.attached; openai.*; qwen.headless; xai.responses-websocket	additive route-local controls	tagged routes lacked the post-release selected controls recorded by the current matrix	typed exact effort/reasoning, plan, turn/tool budgets, model parameters, context/output limits, service tier, and dispatch-only controls are present only where current evidence admits them; omission and unsupported values remain explicit	additive compatible when selected; no global capability inference	existing calls preserve omission behavior; consumers must use exact route/model/version selections and cannot infer acceptance/effectiveness from dispatch-only evidence	current/tag route snapshots; feature matrix deltas; current CHANGELOG Added/Changed sections; linked Research/g04 closeouts in route ledger	current [Unreleased] entries cover the mapped families; Card051 must consolidate exact release-note map	opt in only to named exact rows; rollback omits new controls
CURRENTNESS-EXTENSIONS	antigravity.*; claude-agent.acp; claude-code.*; gemini-cli.*; kimi-code.local-server; oh-my-pi.rpc; ollama.attached; opencode.http; qwen.headless; pi.rpc	range extension/identity evidence	tagged qualified ceilings and exact identity revisions were lower	named official stable ranges extend or correct currentness; published gaps and unverified-newer boundaries remain explicit; no bulk latest adoption	compatible extension or evidence correction except the Kimi rows named separately	existing mapped behavior remains for the qualified retained range; consumers must honor exclusions and exact identity axes	Research 182, 215-217, 258, 261-276; currentness checkpoint Research 276; current/tag route ledger	CHANGELOG [Unreleased] Changed entries cover these named currentness movements; Card051 must retain gaps and limits	use only current qualified ranges; rollback to v0.3.3 returns older ceilings
MSRV-TARGET	all 40 packages; existing v0.3.3 verified target	MSRV/verified-target negative evidence	Rust 1.95.0 and Apple Silicon macOS were the v0.3.3 verified floor/target	cargo metadata and release baselines still report Rust 1.95.0 for all packages; no existing verified target is removed; new SDK row is explicitly Unix-only/Windows Unsupported	unchanged negative evidence plus additive new-route restriction	no upgrade action for existing packages; SDK consumers must meet its Unix/sidecar authority	Contract 036; rust-toolchains-0.2.0.env; current metadata; route matrix; package ledger	no new breaking target/MSRV release-note entry; candidate notes must preserve the existing boundary	no MSRV bump or target removal; rollback is v0.3.3
PACKAGE-ROUTE-SET	all 40 packages; 47 immutable routes; 49 current rows	package/route identity negative evidence	v0.3.3 package and release-route sets were 40/47	package set remains exactly 40; immutable release set remains byte-for-byte 47; current integration/route set is exactly 49 only by +pi.sdk-sidecar and +claude-agent.sdk	compatible set extension; no existing package/route removal	existing package/route identities remain; Card051 owns creation of any distinct candidate route baseline from this census	metadata, package/API ledgers, route snapshots, census summary, route gate	release notes for candidate additions remain Card051-owned; no historical release note rewrite	do not present current 49-row integration truth as an overwritten v0.3.3 release inventory
IMMUTABLE-EVIDENCE	release-baselines/public-api-* historical dirs; internal-dependencies-*; production-routes-*; rust-toolchains-*	evidence/baseline integrity	v0.3.3 and earlier evidence was the compatibility authority	131 immutable baseline files equal tag content; git diff v0.3.3..head has no changes under immutable directories; only public-api-unreleased changes	unchanged negative evidence	no consumer effect; audit uses generated temporary current output and does not rewrite prior evidence	immutable checksum manifest; git diff path proof; API generation log/hash	no release-note action; this is an audit invariant	future candidate baselines must be distinct; never regenerate prior tagged paths
