row_kind,route_id,operation_shape,semantic_id,public_source,owning_package,value_kind,value_domain,omission_semantics,applicability,lifecycle,state_support,evidence_source,evidence_strength,current_projection,gap_or_non_claim
feature,qwen.headless,model-catalogue,feature.model-catalogue,ModelCatalogEntry; NegotiatedSessionModelOptions where exposed,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"Catalogue observation is not model mutation authority, and route-wide catalogue evidence does not prove model applicability."
feature,qwen.headless,structured-run,feature.structured-run,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,interactive-session,feature.interactive-session,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,route-observation,feature.streaming-events,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,route-observation,feature.usage-evidence,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,route-capability,feature.reasoning-selection,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,route-capability,feature.cancellation-or-interruption,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,route-capability,feature.working-resource,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,qwen.headless,route-capability,feature.prepared-facade,PreparedOperationEvidence; PreflightPlan,swallowtail-runtime; swallowtail-adapter-qwen,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-qwen/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"Prepared evidence is route-bound preparation authority, not the cohesive feature/control projection requested here."
feature,qwen.headless,route-observation,feature.activity-observation,ObservableActivityProfile; ActivityEvent,swallowtail-runtime; swallowtail-adapter-qwen,observation,route-specific activity/event fidelity; no portable event payload,absent when route emits no event; no inference,exact route and operation; provider stream and adapter activity profile remain authoritative,post-open-observation-only,descriptor-only,crates/swallowtail-adapter-qwen/src/lib.rs; docs/guides/provider-route-matrix.md,runtime-export+route-matrix,ActivityProfile and route event stream; no cohesive projection,"Activity is observed output, not a selectable control or provider-effective option."
feature,alibaba.conversations,model-catalogue,feature.model-catalogue,ModelCatalogEntry; NegotiatedSessionModelOptions where exposed,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"Catalogue observation is not model mutation authority, and route-wide catalogue evidence does not prove model applicability."
feature,alibaba.conversations,structured-run,feature.structured-run,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,interactive-session,feature.interactive-session,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,route-observation,feature.streaming-events,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,route-observation,feature.usage-evidence,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,route-capability,feature.cancellation-or-interruption,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,session-lifecycle,feature.load-session,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,session-lifecycle,feature.provider-session-delete,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,route-capability,feature.owned-remote-resource-cleanup,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"The matrix is documentation/QA evidence; it does not prove accepted control values, exact model applicability, provider-effective state, or availability."
feature,alibaba.conversations,session-lifecycle,feature.persistent-session-posture,Capability; CapabilityProfile; CapabilityRequirement,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Route-dependent; operation-owned deletion or retained preservation; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"Persistence posture is lifecycle evidence, not a consumer default or composer control."
feature,alibaba.conversations,route-capability,feature.prepared-facade,PreparedOperationEvidence; PreflightPlan,swallowtail-runtime; swallowtail-adapter-alibaba-model-studio,capability-state,matrix posture=Yes; route-specific qualification required,not a selectable value; descriptor only,exact route; configured instance and prepared operation; model/access/resource constraints remain separate,selection-summary,descriptor-only,docs/guides/provider-solution-feature-matrix.csv; crates/swallowtail-adapter-alibaba-model-studio/src/lib.rs,matrix-cross-check+runtime-type,ConfiguredProviderInstanceCatalogue + PreparedOperationEvidence + adapter prepared facade; no cohesive consumer projection,"Prepared evidence is route-bound preparation authority, not the cohesive feature/control projection requested here."
