consumer_package	dependency_package	v0.3.3_requirement	audited_head_requirement	topology_delta	compatibility_class	consumer_effect	upgrade_rollback
swallowtail-adapter-alibaba-model-studio	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-alibaba-model-studio	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-anthropic	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-anthropic	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-antigravity	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-antigravity	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-bedrock	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-bedrock	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-claude-agent	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-claude-agent	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-claude-agent	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-cline	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-cline	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-cline	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-codex	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-codex	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-command-code	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-command-code	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-copilot-cli	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-copilot-cli	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-copilot-cli	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-cursor	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-cursor	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-cursor	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepagents	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepagents	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepagents	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepseek	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
